Day;Hires
2014-10-30;32503
2014-10-31;36478
2014-11-01;31912
2014-11-02;15887
2014-11-03;22347
2014-11-04;23525
2014-11-05;27970
2014-11-06;28274
2014-11-07;26779
2014-11-08;17473
2014-11-09;24099
2014-11-10;28303
2014-11-11;28993
2014-11-12;24878
2014-11-13;27839
2014-11-14;21442
2014-11-15;22842
2014-11-16;17849
2014-11-17;21398
2014-11-18;26094
2014-11-19;28807
2014-11-20;29068
2014-11-21;24070
2014-11-22;18347
2014-11-23;6030
2014-11-24;25884
2014-11-25;24359
2014-11-26;23096
2014-11-27;26765
2014-11-28;26782
2014-11-29;24337
2014-11-30;19998
2014-12-01;24983
2014-12-02;21614
2014-12-03;25376
2014-12-04;19993
2014-12-05;22939
2014-12-06;17431
2014-12-07;12789
2014-12-08;23519
2014-12-09;23925
2014-12-10;25028
2014-12-11;23028
2014-12-12;20436
2014-12-13;18255
2014-12-14;14441
2014-12-15;22940
2014-12-16;23087
2014-12-17;22120
2014-12-18;23196
2014-12-19;21966
2014-12-20;14690
2014-12-21;11802
2014-12-22;18552
2014-12-23;16551
2014-12-24;10385
2014-12-25;39145
2014-12-26;7678
2014-12-27;6349
2014-12-28;9293
2014-12-29;12411
2014-12-30;13120
2014-12-31;12811
2015-01-01;9615
2015-01-02;15389
2015-01-03;5779
2015-01-04;9367
2015-01-05;20566
2015-01-06;20765
2015-01-07;22504
2015-01-08;15769
2015-01-09;22285
2015-01-10;14877
2015-01-11;14738
2015-01-12;17354
2015-01-13;24966
2015-01-14;23767
2015-01-15;23123
2015-01-16;22894
2015-01-17;15443
2015-01-18;13373
2015-01-19;23193
2015-01-20;23384
2015-01-21;22987
2015-01-22;23432
2015-01-23;22093
2015-01-24;17748
2015-01-25;15267
2015-01-26;22867
2015-01-27;25222
2015-01-28;21685
2015-01-29;21421
2015-01-30;21405
2015-01-31;10385
2015-02-01;11420
2015-02-02;21770
2015-02-03;20028
2015-02-04;22056
2015-02-05;21396
2015-02-06;21146
2015-02-07;13324
2015-02-08;15983
2015-02-09;24078
2015-02-10;24399
2015-02-11;23870
2015-02-12;23429
2015-02-13;17836
2015-02-14;14644
2015-02-15;17253
2015-02-16;16548
2015-02-17;25288
2015-02-18;25340
2015-02-19;17081
2015-02-20;21014
2015-02-21;16490
2015-02-22;9214
2015-02-23;21857
2015-02-24;23758
2015-02-25;21708
2015-02-26;20131
2015-02-27;24540
2015-02-28;13677
2015-03-01;15817
2015-03-02;22379
2015-03-03;24001
2015-03-04;24544
2015-03-05;24959
2015-03-06;25527
2015-03-07;27754
2015-03-08;20207
2015-03-09;24230
2015-03-10;27878
2015-03-11;27610
2015-03-12;28324
2015-03-13;25840
2015-03-14;18270
2015-03-15;10744
2015-03-16;19950
2015-03-17;25956
2015-03-18;26618
2015-03-19;24241
2015-03-20;25424
2015-03-21;16304
2015-03-22;18782
2015-03-23;25741
2015-03-24;24161
2015-03-25;25779
2015-03-26;20415
2015-03-27;26567
2015-03-28;19242
2015-03-29;8987
2015-03-30;22235
2015-03-31;22898
2015-04-01;23677
2015-04-02;22818
2015-04-03;11503
2015-04-04;13828
2015-04-05;19685
2015-04-06;25724
2015-04-07;29525
2015-04-08;30882
2015-04-09;31671
2015-04-10;32299
2015-04-11;25415
2015-04-12;29457
2015-04-13;28203
2015-04-14;34830
2015-04-15;37709
2015-04-16;30656
2015-04-17;30001
2015-04-18;29846
2015-04-19;19906
2015-04-20;32163
2015-04-21;35103
2015-04-22;32559
2015-04-23;32935
2015-04-24;32332
2015-04-25;25441
2015-04-26;19565
2015-04-27;30735
2015-04-28;32024
2015-04-29;26197
2015-04-30;31795
2015-05-01;29822
2015-05-02;22474
2015-05-03;21375
2015-05-04;26933
2015-05-05;26633
2015-05-06;24556
2015-05-07;31283
2015-05-08;27029
2015-05-09;27995
2015-05-10;32399
2015-05-11;33872
2015-05-12;33930
2015-05-13;36877
2015-05-14;15657
2015-05-15;32522
2015-05-16;32720
2015-05-17;31506
2015-05-18;24385
2015-05-19;28408
2015-05-20;30650
2015-05-21;34922
2015-05-22;33624
2015-05-23;23989
2015-05-24;30267
2015-05-25;29607
2015-05-26;34880
2015-05-27;36496
2015-05-28;34496
2015-05-29;26155
2015-05-30;29432
2015-05-31;15075
2015-06-01;27893
2015-06-02;28070
2015-06-03;35630
2015-06-04;39687
2015-06-05;35048
2015-06-06;33088
2015-06-07;35757
2015-06-08;32745
2015-06-09;33447
2015-06-10;35862
2015-06-11;38969
2015-06-12;35367
2015-06-13;30566
2015-06-14;25402
2015-06-15;34723
2015-06-16;38166
2015-06-17;38799
2015-06-18;38875
2015-06-19;36220
2015-06-20;26546
2015-06-21;30621
2015-06-22;29711
2015-06-23;37663
2015-06-24;39183
2015-06-25;38856
2015-06-26;37281
2015-06-27;36885
2015-06-28;25846
2015-06-29;39280
2015-06-30;43582
2015-07-01;42891
2015-07-02;38467
2015-07-03;39940
2015-07-04;38640
2015-07-05;29963
2015-07-06;38895
2015-07-07;38120
2015-07-08;41921
2015-07-09;73094
2015-07-10;43266
2015-07-11;42676
2015-07-12;23498
2015-07-13;27646
2015-07-14;35600
2015-07-15;34878
2015-07-16;39609
2015-07-17;38845
2015-07-18;38906
2015-07-19;36989
2015-07-20;32140
2015-07-21;41001
2015-07-22;38133
2015-07-23;39368
2015-07-24;16135
2015-07-25;32982
2015-07-26;12497
2015-07-27;32103
2015-07-28;36310
2015-07-29;37021
2015-07-30;36350
2015-07-31;36932
2015-08-01;43492
2015-08-02;43679
2015-08-03;35609
2015-08-04;37864
2015-08-05;39010
2015-08-06;63963
2015-08-07;39788
2015-08-08;39362
2015-08-09;40758
2015-08-10;35625
2015-08-11;34567
2015-08-12;36838
2015-08-13;26185
2015-08-14;25638
2015-08-15;34137
2015-08-16;30948
2015-08-17;36003
2015-08-18;34776
2015-08-19;31903
2015-08-20;32857
2015-08-21;36329
2015-08-22;44724
2015-08-23;27202
2015-08-24;17520
2015-08-25;28401
2015-08-26;23969
2015-08-27;30856
2015-08-28;33201
2015-08-29;22828
2015-08-30;25191
2015-08-31;9709
2015-09-01;25739
2015-09-02;30313
2015-09-03;31163
2015-09-04;29913
2015-09-05;22475
2015-09-06;29539
2015-09-07;31917
2015-09-08;32968
2015-09-09;33332
2015-09-10;35956
2015-09-11;34690
2015-09-12;29143
2015-09-13;26342
2015-09-14;25923
2015-09-15;28311
2015-09-16;18764
2015-09-17;32336
2015-09-18;30124
2015-09-19;33855
2015-09-20;31380
